symbol,name,lastsale,netchange,pctchange,marketCap,url
CORT,Corcept Therapeutics Incorporated Common Stock,$86.105,1.445,1.707%,"9,057,231,425",/market-activity/stocks/cort
HIMS,"Hims & Hers Health, Inc. Class A Common Stock",$39.20,-0.82,-2.049%,"8,923,821,749",/market-activity/stocks/hims
HSIC,"Henry Schein, Inc. Common Stock",$73.62,0.28,0.382%,"8,666,900,291",/market-activity/stocks/hsic
ARWR,"Arrowhead Pharmaceuticals, Inc. Common Stock",$61.44,-3.22,-4.98%,"8,344,139,244",/market-activity/stocks/arwr
DVA,DaVita Inc. Common Stock,$117.39,0.11,0.094%,"8,287,734,000",/market-activity/stocks/dva
CAI,"Caris Life Sciences, Inc. Common Stock",$28.86,0.54,1.907%,"8,142,760,198",/market-activity/stocks/cai
CYTK,"Cytokinetics, Incorporated Common Stock",$65.67,-0.87,-1.307%,"8,029,137,887",/market-activity/stocks/cytk
NUVL,"Nuvalent, Inc. Class A Common Stock",$109.60,2.74,2.564%,"7,968,655,964",/market-activity/stocks/nuvl
MOH,Molina Healthcare Inc Common Stock,$151.86,1.29,0.857%,"7,805,604,000",/market-activity/stocks/moh
MASI,Masimo Corporation Common Stock,$141.68,-0.58,-0.408%,"7,610,192,294",/market-activity/stocks/masi
AXSM,"Axsome Therapeutics, Inc. Common Stock",$149.22,1.18,0.797%,"7,522,574,141",/market-activity/stocks/axsm
HALO,"Halozyme Therapeutics, Inc. Common Stock",$63.33,0.38,0.604%,"7,447,418,010",/market-activity/stocks/halo
RYTM,"Rhythm Pharmaceuticals, Inc. Common Stock",$104.60,-1.10,-1.041%,"6,980,591,458",/market-activity/stocks/rytm
CDTX,"Cidara Therapeutics, Inc. Common Stock",$220.36,-0.14,-0.063%,"6,927,979,794",/market-activity/stocks/cdtx
KRYS,"Krystal Biotech, Inc. Common Stock",$234.13,12.17,5.483%,"6,789,189,123",/market-activity/stocks/krys
BTSG,"BrightSpring Health Services, Inc. Common Stock",$35.79,0.63,1.792%,"6,454,808,710",/market-activity/stocks/btsg
MSA,MSA Safety Incorporated Common Stock,$162.33,-0.88,-0.539%,"6,355,554,062",/market-activity/stocks/msa
GKOS,Glaukos Corporation Common Stock,$108.51,-0.34,-0.312%,"6,232,243,637",/market-activity/stocks/gkos
PTCT,"PTC Therapeutics, Inc. Common Stock",$77.255,-0.595,-0.764%,"6,202,673,003",/market-activity/stocks/ptct
PRAX,"Praxis Precision Medicines, Inc. Common Stock",$247.99,58.02,30.542%,"6,201,528,336",/market-activity/stocks/prax
PCVX,"Vaxcyte, Inc. Common Stock",$46.48,0.41,0.89%,"6,084,523,104",/market-activity/stocks/pcvx
RDNT,"RadNet, Inc. Common Stock",$78.59,-2.49,-3.071%,"6,062,931,018",/market-activity/stocks/rdnt
CHE,Chemed Corp,$421.97,-2.33,-0.549%,"5,976,865,364",/market-activity/stocks/che
IRTC,"iRhythm Technologies, Inc. Common Stock",$178.37,-2.98,-1.643%,"5,746,928,537",/market-activity/stocks/irtc
BLTE,"Belite Bio, Inc American Depositary Shares",$150.00,-1.27,-0.84%,"5,627,194,500",/market-activity/stocks/blte
PTGX,"Protagonist Therapeutics, Inc. Common Stock",$89.65,2.32,2.657%,"5,604,529,457",/market-activity/stocks/ptgx
COGT,"Cogent Biosciences, Inc. Common Stock",$38.77,-0.54,-1.374%,"5,519,938,029",/market-activity/stocks/cogt
TFX,Teleflex Incorporated Common Stock,$120.50,1.64,1.38%,"5,325,426,164",/market-activity/stocks/tfx
APGE,"Apogee Therapeutics, Inc. Common Stock",$76.75,1.25,1.656%,"5,243,577,576",/market-activity/stocks/apge
LEGN,Legend Biotech Corporation American Depositary Shares,$28.13,0.32,1.151%,"5,166,050,815",/market-activity/stocks/legn
MMSI,"Merit Medical Systems, Inc. Common Stock",$83.43,-0.66,-0.785%,"4,946,585,391",/market-activity/stocks/mmsi
BLLN,"BillionToOne, Inc. Class A Common Stock",$111.64,7.62,7.326%,"4,913,865,748",/market-activity/stocks/blln
CELC,Celcuity Inc. Common Stock,$105.63,-0.24,-0.227%,"4,887,633,088",/market-activity/stocks/celc
TGTX,"TG Therapeutics, Inc. Common Stock",$30.76,-0.62,-1.976%,"4,883,440,713",/market-activity/stocks/tgtx
PACS,"PACS Group, Inc. Common Stock",$30.76,-0.73,-2.318%,"4,817,481,829",/market-activity/stocks/pacs
